scenario,metric,hour_a,hour_b,spearman_r,n_cells,caveat
overhead_as_canopy,tmrt_p75_c,10,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,10,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,12,13,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,12,15,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,12,16,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,13,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,13,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p75_c,15,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,10,12,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,10,13,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,10,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,10,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,12,13,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,12,15,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,12,16,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,13,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,13,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p90_c,15,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,10,12,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,10,13,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,10,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,10,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,12,13,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,12,15,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,12,16,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,13,15,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,13,16,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_p95_c,15,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,10,12,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,10,13,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,10,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,10,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,12,13,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,12,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,12,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,13,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,13,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,tmrt_max_c,15,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,10,12,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,10,13,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,10,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,10,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,12,13,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,12,15,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,12,16,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,13,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,13,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,delta_tmrt_p90_c,15,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,10,12,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,10,13,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,10,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,10,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,12,13,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,12,15,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,12,16,0.9761904761904763,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,13,15,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,13,16,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,m_rad_pct,15,16,1.0,8,Core 8 diagnostic sample
