scenario,metric,hour_a,hour_b,top_k,top_k_cells_hour_a,top_k_cells_hour_b,overlap_count,jaccard_overlap,n_cells,caveat
overhead_as_canopy,tmrt_mean_c,12,13,3,TP_0366|TP_0565|TP_0986,TP_0366|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_mean_c,12,15,3,TP_0366|TP_0565|TP_0986,TP_0366|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_mean_c,12,16,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0366|TP_0565,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_mean_c,13,15,3,TP_0366|TP_0565|TP_0986,TP_0366|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_mean_c,13,16,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0366|TP_0565,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_mean_c,15,16,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0366|TP_0565,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,10,12,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,10,13,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,10,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,10,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,12,13,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,12,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,12,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,13,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,13,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p75_c,15,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,10,12,3,TP_0059|TP_0565|TP_0986,TP_0565|TP_0627|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,10,13,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,10,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,10,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,12,13,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,12,15,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,12,16,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,13,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,13,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p90_c,15,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,10,12,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,10,13,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,10,15,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,10,16,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,12,13,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,12,15,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,12,16,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,13,15,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,13,16,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_p95_c,15,16,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,10,12,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,10,13,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,10,15,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,10,16,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,12,13,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,12,15,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,12,16,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,13,15,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,13,16,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,tmrt_max_c,15,16,3,TP_0326|TP_0542|TP_0986,TP_0326|TP_0542|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,10,12,3,TP_0059|TP_0565|TP_0986,TP_0565|TP_0627|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,10,13,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,10,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,10,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,12,13,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,12,15,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,12,16,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,13,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,13,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,delta_tmrt_p90_c,15,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,10,12,3,TP_0059|TP_0565|TP_0986,TP_0565|TP_0627|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,10,13,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,10,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,10,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,12,13,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,12,15,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,12,16,3,TP_0565|TP_0627|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,13,15,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,13,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,m_rad_pct,15,16,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
